taxon lfc_(Intercept) lfc_mediaCVP lfc_mediaKBC lfc_mediaTSA lfc_siteMD lfc_siteLD se_(Intercept) se_mediaCVP se_mediaKBC se_mediaTSA se_siteMD se_siteLD W_(Intercept) W_mediaCVP W_mediaKBC W_mediaTSA W_siteMD W_siteLD p_(Intercept) p_mediaCVP p_mediaKBC p_mediaTSA p_siteMD p_siteLD q_(Intercept) q_mediaCVP q_mediaKBC q_mediaTSA q_siteMD q_siteLD diff_(Intercept) diff_mediaCVP diff_mediaKBC diff_mediaTSA diff_siteMD diff_siteLD
Class:Verrucomicrobiae 3.33648710104263 -3.59866025461703 -3.65623005709488 -4.47567792899097 -0.094218385481962 0.170541498153945 0.346171823768866 0.453257743110239 0.422400930157135 0.484656535632607 0.337302792050427 0.341460958760072 9.63823994892882 -7.93954501454989 -8.65582861224937 -9.23474171899696 -0.279328803978226 0.499446551000215 5.51249951766259e-22 2.02924236292475e-15 4.89343482558242e-18 2.58909892207617e-20 0.779992503275747 0.617464831762788 1.32299988423902e-20 4.46433319843446e-14 1.12549000988396e-16 6.73165719739804e-19 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Opitutae 3.67106089658181 -4.09873302866013 -4.15630283113797 -4.97575070303407 0.308944554399328 -0.111179086747907 0.482499420727477 0.609178254070489 0.579151048207126 0.639813878112709 0.473906897150448 0.477934168227873 7.60842550038061 -6.72829832856421 -7.17654374278457 -7.77687210804381 0.651909808143707 -0.232624269489136 2.77455109436623e-14 1.71658701001733e-11 7.14957838532029e-13 7.4339692466877e-15 0.514459357258037 0.816053179921953 6.10401240760571e-13 3.43317402003466e-10 1.50141146091726e-11 1.78415261920505e-13 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Epsilonproteobacteria 2.86881992282006 -2.495666160792 -2.55323596326984 -3.37268383516593 -0.252041433663154 -0.750370630103491 0.504050577594904 0.633737366504138 0.603892610184889 0.664201241464432 0.495516656697687 0.499516256657997 5.69153186275222 -3.93801327284637 -4.227963581949 -5.07780417231656 -0.508643716122189 -1.50219461349232 1.2590465472535e-08 8.21590508799211e-05 2.35815948650915e-05 3.81821931561126e-07 0.611001980659916 0.133046855540044 2.2662837850563e-07 0.00130841195927445 0.000330142328111281 6.49097283653914e-06 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Phylum:Bacteroidetes 4.33959739134577 -5.88323414709311 -6.06287198164519 -5.57831929640391 0.191664908889677 1.22072022120239 0.50007176574922 0.629203160805558 0.599324716335248 0.659698833236529 0.491527069676249 0.495531756022728 8.67794922363608 -9.35029337672256 -10.1161721123708 -8.45585745397832 0.389937646803297 2.46345507904523 4.02968862999841e-18 8.74049445199209e-21 4.68376715749208e-24 2.77043885745393e-17 0.696582654894652 0.0137605137270446 9.26828384899634e-17 2.0977186684781e-19 1.1241041177981e-22 6.92609714363482e-16 1 0.426575925538381 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Cytophagia 5.54847841178111 -6.76801203522446 -6.8255818377023 -7.6450297095984 -0.0212173918074091 0.592608078630643 0.354068927214877 0.462373843567329 0.431518500525386 0.493771326282772 0.345200411044633 0.349358332841782 15.6706166096689 -14.6375322250229 -15.8175879583192 -15.4829357288768 -0.0614639818741867 1.69627578025747 2.40237384927649e-55 1.61836328712331e-48 2.35337217845459e-56 4.52350394853566e-54 0.950989698449797 0.0898336649920732 7.68759631768475e-54 5.17876251879459e-47 7.5307909710547e-55 1.44752126353141e-52 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Bacteroidia 4.62820386034744 -5.13131863885428 -5.18888844133212 -6.00833631322821 -0.208393986845004 -0.141951813863646 0.364844735018278 0.474779069657505 0.443944299644624 0.506158183869545 0.355983411496743 0.360137917163303 12.6854067391587 -10.8078029694019 -11.6881519719609 -11.8704715338096 -0.585403645548553 -0.394159590252971 7.12430505076628e-37 3.16151135636284e-27 1.4654054984448e-31 1.6851513181654e-32 0.558276338082523 0.693463217964909 2.06604846472222e-35 8.53608066217968e-26 3.95659484580097e-30 4.88693882267966e-31 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Flavobacteriia 4.7191319580989 -7.23355508903622 -5.14724877404084 -2.69682045831311 -1.15189531613216 -0.409424081849207 0.638995486778161 0.787651245135331 0.758882531423923 0.817081641869026 0.630796647258633 0.634638357033343 7.38523519452843 -9.18370298239468 -6.78266867519383 -3.30055201355926 -1.8260961296135 -0.645129745644567 1.52184132785165e-13 4.16516350651384e-20 1.17975992597361e-11 0.000964948253158592 0.0678357831175551 0.518843108944148 3.19586678848846e-12 9.57987606498182e-19 2.24154385934987e-10 0.00482474126579296 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Sphingobacteriia 1.96942446733153 -3.12331488397038 -1.67569478430647 1.37889822560302 -0.365675672006957 -1.68965591270954 0.645365475069712 0.794925289815633 0.766202788759104 0.824310598678872 0.637180681791705 0.641015783746953 3.05164212126283 -3.92906720164202 -2.18701211858067 1.67278963513631 -0.57389635696221 -2.63590375705406 0.0022759327661515 8.52760080279504e-05 0.0287416393337027 0.0943687160271186 0.566037938455153 0.0083913528262209 0.00851521888932573 0.00130841195927445 0.0925109447101971 0.188737432054237 1 0.268523290439069 TRUE TRUE FALSE FALSE FALSE FALSE
Class:[Saprospirae] 5.42993287728293 -6.63820709916731 -6.69577690164515 -7.51522477354124 0.249756053777839 0.385210130411345 0.348296562230666 0.455712815388135 0.424855110328635 0.487112398935062 0.339427215090967 0.343585531726399 15.5899697731924 -14.5666456483421 -15.7601420787096 -15.4281122590417 0.735816230030066 1.12114770513123 8.51738451621015e-55 4.57825295921021e-48 5.85013226193801e-56 1.05923330333282e-53 0.461842542688021 0.262224995291666 2.64038920002515e-53 1.41925841735517e-46 1.81354100120078e-54 3.28362324033174e-52 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Nitrospira 2.68001302107918 -2.03811571679288 -2.09568551927072 -2.91513339116682 -0.809260733216021 -0.656219124325994 0.534650318410041 0.668612639241033 0.63902515074888 0.698832479979941 0.526198052695595 0.530159127693615 5.01264645095337 -3.0482757835784 -3.27950397071973 -4.17143374797132 -1.53793942997386 -1.23777765966378 5.36864857104084e-07 0.00230158596957535 0.00103989746796137 3.02689066762864e-05 0.124063425238413 0.21579851424638 6.97924314235309e-06 0.0276190316349042 0.0124787696155364 0.000454033600144296 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Actinobacteria 4.38333490391248 -6.6950359151674 -6.43145330010122 -3.98238155924541 0.282011363453115 0.687495240967691 0.444458184614175 0.565817864572065 0.535475278480332 0.596747509631136 0.43576279978817 0.439838690780533 9.8621986401658 -11.8324929882356 -12.0107380463082 -6.67347830526686 0.647167136777634 1.56306222116947 6.07053055712884e-23 2.65147974474079e-32 3.1204761551937e-33 2.49810527250906e-11 0.517523777963 0.118037960482634 1.51763263928221e-21 7.68929125974829e-31 8.73733323454236e-32 5.49583159951993e-10 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Acidobacteria-6 2.21978595455875 -1.39515116114919 -1.45272096362703 -2.27216883552312 -0.879874746515442 -0.651594161663581 0.483916037503566 0.610792602089355 0.5807773678742 0.641416991908762 0.475327378172999 0.479352824014056 4.58713037495143 -2.28416512638948 -2.50133879862498 -3.54242070943815 -1.85109208288693 -1.35932058605015 4.4938007135664e-06 0.0223618282538879 0.0123724753922998 0.00039647259514805 0.0641563068868739 0.174045023498238 4.04442064220976e-05 0.11180914126944 0.0618623769614988 0.00356825335633245 1 1 TRUE FALSE FALSE TRUE FALSE FALSE
Class:Gammaproteobacteria -1.62837810508321 3.13732058770085 3.02856856309518 1.89376734295763 0.170672992841651 -0.0424228126345487 0.407856637246843 0.524048275191063 0.493431807863041 0.55522979934874 0.399069967862431 0.403189071005462 -3.99252569744914 5.98670148576866 6.13776516802054 3.41078116696715 0.4276768651769 -0.105218161119189 6.53732458952041e-05 2.14139274912727e-09 8.36904512742244e-10 0.00064777058073801 0.668886395478986 0.916202700222478 0.000522985967161633 4.06864622334181e-08 1.50642812293604e-08 0.00453439406516607 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Phylum:Actinobacteria 1.71246036657017 -1.85918198742695 -1.91675178990479 -2.73619966180088 0.946830375447789 0.0877468394638743 0.55428387707779 0.690995632356313 0.661570212000511 0.721060698634744 0.545882513140073 0.549819589683313 3.08950059236494 -2.69058428211346 -2.89727644191953 -3.79468700344035 1.7344947908321 0.159592057304497 0.00200493306726907 0.007132701553209 0.00376417908184839 0.000147829826896501 0.0828303292279647 0.87320243613807 0.00851521888932573 0.049928910872463 0.0263492535729388 0.00147829826896501 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Acidimicrobiia 4.10284331349558 -4.8857198521369 -4.94328965461474 -5.76273752651084 0.457877377237258 0.215261192495578 0.402741303400753 0.518202705575527 0.487552500679545 0.549414988154152 0.393943231546808 0.39806773755325 10.1872921372879 -9.42820212933995 -10.1389894374962 -10.4888611537004 1.16229278883512 0.540765232115256 2.25970745101195e-24 4.17178024302001e-21 3.70916718549618e-24 9.71927802108295e-26 0.245116554781254 0.588669409886667 5.87523937263108e-23 1.042945060755e-19 9.27291796374044e-23 2.6242050656924e-24 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Clostridia 2.81549156962763 -2.10064813350331 -2.15821793598115 -2.97766580787724 -0.928217299089184 -0.803000266499734 0.559101604075884 0.696488958807509 0.667102829109526 0.726516386500305 0.550712521555934 0.554643809692006 5.03574224989257 -3.01605374635073 -3.23521028813807 -4.09855285194726 -1.68548428219261 -1.44777648730208 4.76000712646172e-07 0.00256087862961658 0.00121553171122274 4.15741313532795e-05 0.0918951748107994 0.147679570603766 6.6640099770464e-06 0.0281696649257824 0.0133708488234501 0.000498889576239355 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Erysipelotrichi 1.92988289002578 -1.36724676250226 -1.4248165649801 -2.24426443687619 -0.464425845174975 -0.260118766360762 0.416024464438044 0.533377052139492 0.50281730724802 0.564506717108528 0.407256879354752 0.411366942554898 4.63886875651081 -2.56337755255486 -2.83366651155723 -3.97562042905634 -1.14037569091724 -0.632327830586554 3.50321421247994e-06 0.0103659257661367 0.00460173269820209 7.01960100832857e-05 0.254129815952581 0.52717268154003 3.50321421247994e-05 0.0621955545968204 0.0276103961892126 0.000772156110916142 1 1 TRUE FALSE TRUE TRUE FALSE FALSE
Class:Bacilli -1.73912877225294 0.933940447133393 4.49965350251644 4.54802555520175 -0.146651750454174 -0.834318326152983 0.554276357865448 0.690987059015318 0.661561577179764 0.721052184153424 0.545874974692843 0.549812060302318 -3.13765641917406 1.35160338380909 6.80156414418513 6.3074846108975 -0.268654467145509 -1.51746094055163 0.00170304377786515 0.176502227264546 1.03489301175103e-11 2.83606767404838e-10 0.788195593843884 0.129150347911875 0.00851521888932573 0.529506681793638 2.06978602350206e-10 5.95574211550159e-09 1 1 TRUE FALSE TRUE TRUE FALSE FALSE
Class:4C0d-2 0.0966217298031433 -0.0208623194829716 0.303122011870871 0.176372386141723 -0.263309223563779 0.917328210529842 0.522690756791903 0.654980908739361 0.625293394483332 0.685295877849708 0.514206872544379 0.518182861071216 0.184854483358715 -0.0318517978228178 0.48476765394481 0.257366769365573 -0.512068658788791 1.77027894869678 0.853343172639 0.974590238879897 0.627841169863641 0.796895653248267 0.608602958313364 0.0766806831448513 0.853343172639 0.974590238879897 0.627841169863641 0.796895653248267 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
Class:Alphaproteobacteria 5.55327930877034 -6.8898785603575 -7.8074738655868 -4.55184913336191 -0.355505643100641 -0.579572878458017 0.504158506777218 0.633860362317849 0.604016519477295 0.664323374542563 0.495624877779046 0.499624339958261 11.0149471527697 -10.8697103809476 -12.9259277086382 -6.85185755581189 -0.717287729166672 -1.16001730121162 3.23726530886675e-28 1.60710186956805e-27 3.21396465612952e-38 7.28971262044346e-12 0.473196577129856 0.246041762110036 8.74061633394023e-27 4.49988523479053e-26 9.3204975027756e-37 1.676633902702e-10 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Deltaproteobacteria 3.10288530992665 -3.07682538940025 -3.13439519187809 -3.95384306377418 0.104974351105263 -0.501974311823122 0.49682162449292 0.625499383067548 0.59559340786215 0.656021012963972 0.488268107737312 0.492276958337518 6.2454715273185 -4.91899028630693 -5.26264251837312 -6.02700673551645 0.214993257683213 -1.01969897904292 4.22523500854675e-10 8.6991785958976e-07 1.41999511990057e-07 1.67024045293742e-09 0.829772575243951 0.307871246036989 8.4504700170935e-09 1.47886036130259e-05 2.27199219184092e-06 3.34048090587483e-08 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Betaproteobacteria 3.39234719953581 -5.09983231111234 -5.80159394822408 -2.55622825911666 -0.0886040818326625 1.29266160733776 0.568468027562364 0.707170010056801 0.677859669217464 0.737124710627626 0.560102572313963 0.564022726562191 5.96752505867825 -7.21160716459499 -8.55869468517218 -3.46783688331402 -0.158192599378022 2.29186085322614 2.40879303477688e-09 5.52953047200602e-13 1.14152582210432e-17 0.000524665654252872 0.874305035168777 0.0219136738275492 4.57670676607608e-08 1.16120139912126e-11 2.51135680862951e-16 0.00419732523402298 1 0.657410214826476 TRUE TRUE TRUE TRUE FALSE FALSE
