Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
2015-06-27,Galápagos,-0.8763,-91.0048,28.02,8.1,High,106,False
2015-07-04,Galápagos,-0.9424,-90.9002,26.09,8.107,Low,148,False
2015-07-10,Maldives,3.2419,73.1589,26.52,8.116,High,144,False
2015-07-17,Red Sea,20.0125,38.5173,27.48,8.082,Medium,134,False
2015-07-24,Great Barrier Reef,-18.3228,147.7925,29.21,7.976,High,122,False
2015-07-30,Maldives,3.1541,73.2601,30.24,7.974,Low,117,True
2015-08-06,Red Sea,20.0206,38.5411,31.35,7.981,Medium,80,True
2015-08-12,South China Sea,9.9555,114.9592,28.38,8.069,Low,125,False
2015-08-19,Hawaiian Islands,19.9382,-155.5821,30.68,7.993,Low,138,True
2015-08-26,Caribbean Sea,15.0313,-75.0429,26.89,8.106,Medium,132,False
2015-09-01,Caribbean Sea,15.0357,-74.9763,28.39,8.01,Low,98,False
2015-09-08,Great Barrier Reef,-18.3094,147.742,28.82,7.981,Medium,119,False
2015-09-14,South China Sea,10.0193,114.9558,28.73,8.048,Medium,100,False
2015-09-21,Galápagos,-0.9359,-90.9376,30.12,8.07,None,83,True
2015-09-27,South China Sea,9.9531,115.0258,29.27,8.06,Medium,170,False
2015-10-04,Red Sea,20.0285,38.5568,29.93,8.054,None,100,False
2015-10-11,Red Sea,20.0379,38.4614,28.14,8.033,High,124,False
2015-10-17,Maldives,3.3185,73.1273,29.53,7.949,None,102,False
2015-10-24,Galápagos,-0.8994,-90.9624,26.88,8.047,None,146,False
2015-10-30,Great Barrier Reef,-18.3236,147.71,28.57,8.016,Low,151,False
2015-11-06,Great Barrier Reef,-18.2554,147.5979,28.78,8.011,None,129,False
2015-11-13,Galápagos,-0.9934,-90.9713,29.26,8.078,Medium,94,False
2015-11-19,Hawaiian Islands,19.8801,-155.6065,27.52,8.158,None,135,False
2015-11-26,South China Sea,9.937,115.0459,31.68,8.038,Medium,65,True
2015-12-02,Red Sea,19.9758,38.5633,27.44,8.093,Medium,142,False
2015-12-09,Hawaiian Islands,19.8505,-155.5858,23.64,8.096,High,164,False
2015-12-16,Galápagos,-1.0162,-90.884,26.35,8.071,Low,143,False
2015-12-22,Great Barrier Reef,-18.215,147.6274,30.24,8.016,Low,87,True
2015-12-29,South China Sea,10.0231,115.01,27.6,8.071,None,123,False
2016-01-04,Galápagos,-0.9481,-90.9325,30.88,7.941,Low,128,True
2016-01-11,Maldives,3.1052,73.2131,29.38,8.046,Low,101,False
2016-01-17,Hawaiian Islands,19.8864,-155.6075,27.62,8.11,Medium,134,False
2016-01-24,Red Sea,19.9654,38.545,28.96,8.081,High,124,False
2016-01-31,Galápagos,-0.9952,-90.9936,29.62,8.058,None,108,False
2016-02-06,Hawaiian Islands,19.9027,-155.5189,27.61,8.095,Medium,125,False
2016-02-13,South China Sea,9.9891,115.0549,29.74,8.066,Medium,127,False
2016-02-19,Great Barrier Reef,-18.286,147.7333,28.03,8.076,None,122,False
2016-02-26,South China Sea,10.0048,115.0298,27.27,8.179,None,117,False
2016-03-04,South China Sea,9.9393,115.0579,29.69,8.057,None,117,False
2016-03-10,Red Sea,19.9994,38.4551,28.61,8.014,Medium,133,False
2016-03-17,Red Sea,19.9926,38.4587,28.02,8.08,Low,116,False
2016-03-23,Great Barrier Reef,-18.3282,147.7114,28.87,8.017,None,109,False
2016-03-30,Maldives,3.2144,73.1483,26.39,8.056,Medium,137,False
2016-04-05,Galápagos,-0.9383,-90.8918,29.79,8.016,Medium,106,False
2016-04-12,Great Barrier Reef,-18.3372,147.6983,28.07,8.075,Medium,111,False
2016-04-19,Hawaiian Islands,19.9228,-155.5062,28.34,8.073,Medium,131,False
2016-04-25,Galápagos,-0.9739,-90.9544,28.52,8.055,Medium,108,False
2016-05-02,Maldives,3.204,73.2456,30.68,8.054,High,130,True
2016-05-08,Great Barrier Reef,-18.3255,147.7428,28.78,8.154,None,105,False
2016-05-15,Galápagos,-0.9958,-90.9956,25.31,8.087,None,140,False
2016-05-22,Caribbean Sea,15.0075,-74.9829,31.31,8.041,Low,83,True
2016-05-28,South China Sea,9.9551,115.0246,26.52,8.181,None,157,False
2016-06-04,Caribbean Sea,14.9765,-75.0857,30.53,8.004,Medium,118,True
2016-06-10,Galápagos,-1.0335,-90.9956,28.51,8.052,Low,113,False
2016-06-17,Caribbean Sea,15.0311,-75.0534,28.29,8.06,None,129,False
2016-06-23,Great Barrier Reef,-18.2515,147.643,26.2,8.16,Low,147,False
2016-06-30,Maldives,3.1654,73.2983,28.67,8.105,None,119,False
2016-07-07,Great Barrier Reef,-18.1841,147.787,28.13,8.106,None,133,False
2016-07-13,Maldives,3.2712,73.1725,29.53,8.082,High,83,False
2016-07-20,South China Sea,9.9408,114.898,28.1,8.094,None,146,False
2016-07-26,Great Barrier Reef,-18.2834,147.7806,26.43,8.006,None,139,False
2016-08-02,Red Sea,20.0192,38.4984,25.4,8.108,Low,131,False
2016-08-09,Galápagos,-0.9203,-90.9473,27.09,8.053,High,118,False
2016-08-15,Great Barrier Reef,-18.2902,147.747,27.02,8.105,Low,126,False
2016-08-22,Galápagos,-0.9934,-90.971,26.95,8.053,Low,117,False
2016-08-28,Maldives,3.301,73.2225,27.45,8.082,Medium,128,False
2016-09-04,Caribbean Sea,14.989,-74.9693,29.64,8.001,None,100,False
2016-09-11,Caribbean Sea,14.9862,-75.1151,26.23,8.164,Low,167,False
2016-09-17,Red Sea,19.9875,38.5288,28.97,8.195,None,132,False
2016-09-24,Caribbean Sea,14.9936,-75.0478,26.09,8.108,Low,132,False
2016-09-30,Hawaiian Islands,19.8257,-155.6151,26.88,8.167,Medium,149,False
2016-10-07,South China Sea,9.9996,115.074,28.62,8.005,None,141,False
2016-10-13,Great Barrier Reef,-18.2602,147.6473,28.21,8.012,Medium,102,False
2016-10-20,Great Barrier Reef,-18.2408,147.7947,26.4,8.12,High,131,False
2016-10-27,Great Barrier Reef,-18.3115,147.6696,27.2,8.078,Low,120,False
2016-11-02,Hawaiian Islands,19.9103,-155.5853,28.14,8.012,Low,114,False
2016-11-09,South China Sea,10.0378,115.025,27.03,8.084,Low,145,False
2016-11-15,Great Barrier Reef,-18.3706,147.7264,27.51,8.098,Low,118,False
2016-11-22,Galápagos,-1.044,-91.047,28.57,8.062,None,105,False
2016-11-29,South China Sea,10.0319,114.9169,28.4,7.991,High,111,False
2016-12-05,Maldives,3.2052,73.1777,27.92,8.112,None,117,False
2016-12-12,Galápagos,-0.912,-91.0221,29.29,8.106,Low,74,False
2016-12-18,Caribbean Sea,14.9602,-74.9711,28.2,8.075,None,113,False
2016-12-25,Great Barrier Reef,-18.2828,147.6914,30.25,8.028,None,107,True
2016-12-31,Great Barrier Reef,-18.3077,147.6748,27.85,8.083,Low,120,False
2017-01-07,Great Barrier Reef,-18.2726,147.803,29.81,8.008,High,124,False
2017-01-14,Great Barrier Reef,-18.3075,147.5973,26.99,7.987,None,129,False
2017-01-20,Hawaiian Islands,19.8977,-155.499,28.99,8.029,Low,127,False
2017-01-27,South China Sea,9.8894,115.0118,29.66,7.953,Medium,125,False
2017-02-02,Galápagos,-0.9369,-90.9864,29.45,8.145,None,113,False
2017-02-09,Great Barrier Reef,-18.2747,147.6762,27.23,8.117,High,119,False
2017-02-16,Hawaiian Islands,19.9004,-155.6067,29.22,8.052,High,128,False
2017-02-22,Hawaiian Islands,19.8713,-155.5963,27.03,8.057,High,140,False
2017-03-01,Galápagos,-0.916,-91.0117,29.8,8.092,High,113,False
2017-03-07,Maldives,3.2966,73.182,26.63,7.998,None,161,False
2017-03-14,Red Sea,20.0327,38.4972,28.92,7.985,High,152,False
2017-03-20,Caribbean Sea,15.0065,-74.9945,29.59,8.052,None,112,False
2017-03-27,South China Sea,9.9605,115.0236,31.32,8.061,Medium,115,True
2017-04-03,Red Sea,19.9744,38.4505,28.31,8.057,None,138,False
2017-04-09,Red Sea,19.9154,38.5765,28.26,8.033,None,107,False
2017-04-16,Galápagos,-1.0365,-90.9244,28.61,7.983,Low,99,False
2017-04-22,Hawaiian Islands,19.88,-155.4993,28.11,7.983,None,120,False
2017-04-29,Hawaiian Islands,19.8832,-155.7176,28.42,8.04,Low,131,False
2017-05-06,Great Barrier Reef,-18.1947,147.7555,28.1,8.003,High,162,False
2017-05-12,South China Sea,10.003,115.0007,28.46,8.061,Low,118,False
2017-05-19,South China Sea,9.9713,114.9727,28.45,8.024,High,109,False
2017-05-25,Hawaiian Islands,19.9021,-155.5955,30.76,7.872,None,113,True
2017-06-01,Hawaiian Islands,19.9591,-155.6865,27.99,8.042,None,104,False
2017-06-07,South China Sea,9.9611,114.9445,31.13,8.044,Low,112,True
2017-06-14,Red Sea,20.0361,38.4435,27.71,8.09,Medium,109,False
2017-06-21,Galápagos,-0.9182,-90.9776,27.94,8.097,Medium,132,False
2017-06-27,South China Sea,9.982,115.058,26.88,8.113,None,145,False
2017-07-04,Hawaiian Islands,19.8813,-155.5665,26.62,8.134,Medium,135,False
2017-07-10,Galápagos,-0.9799,-90.9131,27.44,8.001,None,107,False
2017-07-17,Hawaiian Islands,19.9271,-155.6468,31.13,7.893,High,119,True
2017-07-24,Great Barrier Reef,-18.2765,147.6944,27.68,8.086,High,127,False
2017-07-30,Great Barrier Reef,-18.2319,147.7049,28.73,8.027,Low,116,False
2017-08-06,Hawaiian Islands,19.9122,-155.6683,26.48,8.128,High,142,False
2017-08-12,Hawaiian Islands,19.8876,-155.5819,29.02,8.013,Low,103,False
2017-08-19,South China Sea,10.0098,114.9511,29.11,7.953,Medium,129,False
2017-08-26,Maldives,3.2264,73.2335,29.97,8.104,Low,120,False
2017-09-01,Great Barrier Reef,-18.3791,147.6352,27.56,8.07,Low,137,False
2017-09-08,South China Sea,9.9637,115.0093,27.37,8.042,Medium,110,False
2017-09-14,Hawaiian Islands,19.8506,-155.6504,27.04,8.132,Low,120,False
2017-09-21,Maldives,3.3344,73.2454,28.78,8.002,High,127,False
2017-09-27,Great Barrier Reef,-18.3159,147.7053,32.34,7.968,Medium,98,True
2017-10-04,Caribbean Sea,14.9648,-75.0017,31.16,7.966,Medium,120,True
2017-10-11,Great Barrier Reef,-18.2517,147.6711,29.45,8.08,None,119,False
2017-10-17,Red Sea,19.9215,38.4636,28.13,8.054,Low,133,False
2017-10-24,South China Sea,10.0089,114.9332,29.07,8.069,High,122,False
2017-10-30,Maldives,3.2568,73.2624,29.19,8.033,Low,88,False
2017-11-06,Great Barrier Reef,-18.2656,147.7096,28.91,7.978,Medium,99,False
2017-11-13,Great Barrier Reef,-18.2344,147.6972,29.52,8.031,High,110,False
2017-11-19,Galápagos,-0.9069,-90.9914,28.64,8.024,Low,112,False
2017-11-26,Hawaiian Islands,19.8813,-155.5717,27.78,8.127,Medium,113,False
2017-12-02,Galápagos,-0.9631,-90.9876,30.67,8.016,Low,113,True
2017-12-09,Galápagos,-1.0281,-90.9522,29.83,8.027,None,122,False
2017-12-15,Great Barrier Reef,-18.313,147.7697,31.95,7.963,High,78,True
2017-12-22,Maldives,3.2755,73.2997,27.72,8.045,None,123,False
2017-12-29,South China Sea,9.9328,114.9541,26.99,8.042,Low,134,False
2018-01-04,Red Sea,20.0117,38.5775,27.0,8.129,High,131,False
2018-01-11,Maldives,3.2003,73.2544,26.82,8.103,Medium,139,False
2018-01-17,Great Barrier Reef,-18.2625,147.7137,32.18,7.944,Low,75,True
2018-01-24,Great Barrier Reef,-18.3183,147.6714,27.54,8.129,None,150,False
2018-01-31,Red Sea,19.9715,38.4584,29.21,8.008,None,122,False
2018-02-06,Great Barrier Reef,-18.277,147.6234,30.82,8.093,High,87,True
2018-02-13,Maldives,3.1834,73.235,29.0,8.073,Low,145,False
2018-02-19,Great Barrier Reef,-18.2959,147.6593,26.43,8.055,Medium,140,False
2018-02-26,Galápagos,-0.8641,-90.9915,28.84,8.042,Low,134,False
2018-03-04,Hawaiian Islands,20.0231,-155.6093,27.77,8.117,High,137,False
2018-03-11,Red Sea,20.0923,38.5292,27.96,8.09,Low,142,False
2018-03-18,Maldives,3.2438,73.2461,30.1,8.076,Low,124,True
2018-03-24,Great Barrier Reef,-18.2547,147.6908,28.72,8.106,Low,105,False
2018-03-31,Maldives,3.2212,73.201,28.54,8.113,None,122,False
2018-04-06,Great Barrier Reef,-18.2848,147.6312,29.62,8.06,None,141,False
2018-04-13,Caribbean Sea,14.9846,-74.989,28.87,8.121,Low,114,False
2018-04-20,Galápagos,-0.9398,-90.9352,28.78,8.022,Medium,120,False
2018-04-26,Hawaiian Islands,19.9505,-155.6341,28.7,8.011,None,135,False
2018-05-03,Great Barrier Reef,-18.3633,147.6713,29.07,8.117,None,113,False
2018-05-09,Great Barrier Reef,-18.3149,147.7933,26.33,7.984,Medium,148,False
2018-05-16,Maldives,3.1777,73.1696,29.56,8.041,None,100,False
2018-05-23,Hawaiian Islands,19.8328,-155.5392,29.48,8.026,None,137,False
2018-05-29,Maldives,3.1493,73.1444,27.46,8.068,Low,134,False
2018-06-05,Maldives,3.1907,73.2383,26.62,8.16,None,137,False
2018-06-11,Great Barrier Reef,-18.2312,147.7163,29.19,8.065,Low,119,False
2018-06-18,Hawaiian Islands,19.9289,-155.5163,28.79,8.08,Low,115,False
2018-06-24,Hawaiian Islands,19.9688,-155.6166,31.2,7.994,High,71,True
2018-07-01,Hawaiian Islands,19.9032,-155.6169,29.76,7.992,Medium,100,False
2018-07-08,Caribbean Sea,14.9055,-75.0226,24.86,8.044,Medium,167,False
2018-07-14,Caribbean Sea,15.0393,-74.9787,27.05,8.077,None,134,False
2018-07-21,Great Barrier Reef,-18.345,147.7744,29.82,8.013,None,107,False
2018-07-27,South China Sea,10.0104,114.8979,28.13,8.023,Low,108,False
2018-08-03,Red Sea,19.9859,38.5899,29.46,8.002,High,118,False
2018-08-10,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,None,129,False
2018-08-16,Great Barrier Reef,-18.2674,147.744,29.45,8.083,Medium,102,False
2018-08-23,South China Sea,10.0659,115.0099,31.61,7.953,None,114,True
2018-08-29,Caribbean Sea,15.0099,-75.0326,27.77,8.048,High,133,False
2018-09-05,Red Sea,20.0261,38.4713,28.46,8.158,Low,146,False
2018-09-11,Maldives,3.2246,73.2226,28.68,8.077,Medium,102,False
2018-09-18,Maldives,3.1899,73.1373,29.1,8.07,Medium,106,False
2018-09-25,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,None,157,False
2018-10-01,Galápagos,-0.8696,-90.9885,30.12,8.016,None,101,True
2018-10-08,Red Sea,20.0442,38.5326,26.14,8.171,Low,164,False
2018-10-14,Caribbean Sea,14.9687,-74.9802,29.24,8.048,Low,104,False
2018-10-21,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,Low,96,True
2018-10-28,Caribbean Sea,15.0386,-75.1424,30.22,7.929,None,97,True
2018-11-03,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,Low,107,True
2018-11-10,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,High,133,False
2018-11-16,Red Sea,19.9753,38.4222,27.86,8.138,None,139,False
2018-11-23,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,None,130,False
2018-11-29,Caribbean Sea,15.0215,-74.9485,28.86,8.03,Medium,113,False
2018-12-06,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,High,120,False
2018-12-13,Hawaiian Islands,19.8928,-155.5789,25.5,8.156,None,155,False
2018-12-19,Caribbean Sea,15.0499,-75.1448,31.63,7.98,Medium,105,True
2018-12-26,Red Sea,19.948,38.5306,26.92,8.05,None,164,False
2019-01-01,Great Barrier Reef,-18.2966,147.7101,29.81,8.049,Medium,109,False
2019-01-08,South China Sea,10.0182,115.1202,28.41,8.062,High,136,False
2019-01-15,Red Sea,20.0553,38.5594,29.46,7.974,High,134,False
2019-01-21,South China Sea,9.9427,115.0151,27.37,8.069,Low,136,False
2019-01-28,Red Sea,20.0161,38.5211,30.92,8.024,None,92,True
2019-02-03,Great Barrier Reef,-18.2389,147.7587,26.66,8.117,None,148,False
2019-02-10,Hawaiian Islands,19.8819,-155.514,28.27,8.061,High,119,False
2019-02-17,Red Sea,20.0008,38.4452,26.34,8.173,High,128,False
2019-02-23,Galápagos,-1.0034,-91.0733,27.54,8.003,None,154,False
2019-03-02,Galápagos,-0.9033,-91.0,31.88,8.032,High,81,True
2019-03-08,Hawaiian Islands,19.7718,-155.4683,26.42,8.009,Medium,156,False
2019-03-15,Red Sea,20.122,38.5692,29.35,8.063,None,124,False
2019-03-21,South China Sea,10.0379,115.0141,28.66,8.044,None,107,False
2019-03-28,Caribbean Sea,14.986,-75.0846,28.35,8.004,Low,104,False
2019-04-04,Red Sea,20.009,38.5696,29.88,7.944,Low,91,False
2019-04-10,South China Sea,10.047,114.9509,28.16,8.084,None,108,False
2019-04-17,Red Sea,20.0053,38.4333,27.6,8.084,Low,105,False
2019-04-23,Maldives,3.2248,73.2197,29.33,8.045,Medium,132,False
2019-04-30,Red Sea,20.0063,38.4785,28.68,8.073,None,118,False
2019-05-07,Maldives,3.2048,73.1856,27.51,8.0,Medium,156,False
2019-05-13,Hawaiian Islands,19.8346,-155.6174,27.42,8.116,Low,126,False
2019-05-20,Hawaiian Islands,19.9592,-155.6165,28.92,8.0,None,147,False
2019-05-26,Maldives,3.1434,73.2362,29.45,8.052,High,107,False
2019-06-02,Caribbean Sea,14.9935,-74.9978,28.28,8.103,Medium,155,False
2019-06-08,Caribbean Sea,14.9721,-75.0685,28.37,8.182,Medium,109,False
2019-06-15,Great Barrier Reef,-18.2051,147.7831,27.67,8.095,Medium,152,False
2019-06-22,Red Sea,19.981,38.4898,27.63,8.017,None,118,False
2019-06-28,Maldives,3.1416,73.2224,27.35,8.085,Low,108,False
2019-07-05,Caribbean Sea,15.0165,-74.9583,25.51,8.129,High,168,False
2019-07-11,Red Sea,19.9395,38.5836,29.13,8.002,High,112,False
2019-07-18,Caribbean Sea,15.0279,-74.9962,29.31,7.988,None,114,False
2019-07-25,Caribbean Sea,14.9293,-75.0056,27.14,8.04,None,152,False
2019-07-31,Galápagos,-0.8992,-90.9351,26.86,8.067,High,154,False
2019-08-07,Great Barrier Reef,-18.28,147.8152,29.09,8.048,Medium,109,False
2019-08-13,South China Sea,10.0067,114.9924,29.56,8.077,Medium,97,False
2019-08-20,Caribbean Sea,14.9334,-75.0918,29.26,7.98,Medium,80,False
2019-08-26,South China Sea,10.0194,115.1246,28.49,8.092,Low,121,False
2019-09-02,Galápagos,-0.9587,-90.9196,28.06,8.072,Low,129,False
2019-09-09,Great Barrier Reef,-18.3205,147.7488,28.24,8.017,Medium,130,False
2019-09-15,Maldives,3.1579,73.2221,28.49,8.105,None,127,False
2019-09-22,Hawaiian Islands,19.8955,-155.5419,30.59,8.036,Low,99,True
2019-09-28,Caribbean Sea,14.9344,-75.0533,28.04,8.029,None,121,False
2019-10-05,Galápagos,-0.951,-90.9391,28.39,8.076,Medium,122,False
2019-10-12,Caribbean Sea,14.9012,-75.047,28.28,7.994,Medium,131,False
2019-10-18,Red Sea,20.0765,38.5609,28.18,8.131,Medium,125,False
2019-10-25,Galápagos,-0.9707,-90.9963,28.05,8.04,None,127,False
2019-10-31,Caribbean Sea,15.008,-74.9998,29.16,8.096,Medium,127,False
2019-11-07,South China Sea,9.9258,114.8723,29.9,7.954,Low,102,False
2019-11-13,Caribbean Sea,14.9415,-75.0901,29.31,8.072,Medium,103,False
2019-11-20,Caribbean Sea,14.8704,-75.0273,29.09,7.964,High,116,False
2019-11-27,Hawaiian Islands,19.896,-155.5538,28.68,7.998,None,136,False
2019-12-03,Maldives,3.1949,73.2193,27.1,8.056,High,120,False
2019-12-10,South China Sea,9.9914,115.0856,26.44,8.01,Medium,162,False
2019-12-16,Caribbean Sea,14.9895,-75.0335,30.06,7.989,Medium,131,True
2019-12-23,South China Sea,10.0339,114.9756,31.74,7.955,Medium,98,True
2019-12-30,Hawaiian Islands,19.9118,-155.5177,30.84,8.005,Medium,85,True
2020-01-05,Red Sea,20.023,38.4661,31.52,7.996,Medium,84,True
2020-01-12,South China Sea,10.0092,114.9326,27.04,8.139,Medium,124,False
2020-01-18,Maldives,3.1505,73.2475,30.28,8.05,Low,117,True
2020-01-25,South China Sea,9.9622,114.9289,30.75,7.989,None,93,True
2020-02-01,Red Sea,20.0664,38.5278,29.18,8.145,None,103,False
2020-02-07,Red Sea,20.0464,38.5029,28.9,8.118,Low,123,False
2020-02-14,Great Barrier Reef,-18.2602,147.7528,27.95,8.019,None,109,False
2020-02-20,South China Sea,9.9017,115.1028,26.85,8.072,Medium,132,False
2020-02-27,Red Sea,20.0154,38.5408,29.79,7.995,High,104,False
2020-03-04,Caribbean Sea,15.0141,-75.0124,30.91,8.026,None,106,True
2020-03-11,Red Sea,20.0331,38.5587,28.77,7.98,None,123,False
2020-03-18,Great Barrier Reef,-18.3197,147.6728,29.38,8.094,None,111,False
2020-03-24,Caribbean Sea,15.0154,-74.9149,28.86,8.173,High,124,False
2020-03-31,Galápagos,-1.0418,-90.9279,29.07,8.103,Low,124,False
2020-04-06,Galápagos,-0.9607,-91.0268,28.19,8.014,None,114,False
2020-04-13,Galápagos,-0.9244,-90.8821,29.09,7.978,Medium,120,False
2020-04-20,Caribbean Sea,15.0598,-75.0305,28.3,8.055,High,110,False
2020-04-26,Great Barrier Reef,-18.2547,147.6932,29.13,7.993,None,107,False
2020-05-03,Caribbean Sea,15.0361,-75.0186,31.09,7.978,None,97,True
2020-05-09,Hawaiian Islands,19.9434,-155.6537,25.86,8.027,Low,165,False
2020-05-16,Great Barrier Reef,-18.3147,147.8271,27.65,8.076,Low,151,False
2020-05-22,South China Sea,10.1003,115.1031,30.31,8.065,Low,110,True
2020-05-29,Caribbean Sea,15.0389,-75.0276,27.27,8.074,Medium,129,False
2020-06-05,Caribbean Sea,14.9773,-74.9652,29.93,8.026,High,127,False
2020-06-11,Caribbean Sea,14.9429,-75.0097,27.42,7.978,Medium,129,False
2020-06-18,Great Barrier Reef,-18.2932,147.7749,29.45,7.98,Medium,138,False
2020-06-24,Red Sea,20.0611,38.5291,28.16,8.009,Low,117,False
2020-07-01,Red Sea,20.0544,38.5942,30.81,7.979,Medium,80,True
2020-07-08,South China Sea,10.007,114.9116,28.98,8.033,None,108,False
2020-07-14,South China Sea,9.9203,115.0257,27.7,8.007,Medium,84,False
2020-07-21,Caribbean Sea,14.9986,-74.9114,30.99,7.977,High,86,True
2020-07-27,South China Sea,10.0234,114.9501,28.95,8.079,Low,133,False
2020-08-03,Caribbean Sea,14.995,-75.0102,27.18,8.035,None,129,False
2020-08-09,Maldives,3.2212,73.2664,27.3,8.149,Medium,127,False
2020-08-16,Red Sea,19.9989,38.4626,24.86,8.167,Medium,167,False
2020-08-23,South China Sea,9.9859,115.0033,29.27,7.956,Low,104,False
2020-08-29,Maldives,3.2425,73.158,28.94,7.973,Low,122,False
2020-09-05,Red Sea,19.9982,38.4192,30.25,7.978,High,90,True
2020-09-11,Red Sea,20.01,38.5574,26.98,8.084,High,141,False
2020-09-18,Caribbean Sea,15.0347,-74.9912,27.95,8.02,High,126,False
2020-09-25,South China Sea,9.9464,114.8539,29.15,8.082,Low,78,False
2020-10-01,South China Sea,9.9495,115.031,31.59,7.989,High,78,True
2020-10-08,Galápagos,-0.9629,-90.8969,27.53,8.029,Medium,122,False
2020-10-14,Caribbean Sea,14.9523,-74.9939,30.94,8.017,None,91,True
2020-10-21,Hawaiian Islands,19.8822,-155.661,29.82,8.02,Low,104,False
2020-10-28,Great Barrier Reef,-18.1274,147.7141,27.37,8.051,None,148,False
2020-11-03,Caribbean Sea,15.0057,-75.0719,29.88,7.989,Low,134,False
2020-11-10,Red Sea,20.054,38.4776,30.42,8.015,Medium,113,True
2020-11-16,Maldives,3.227,73.1784,27.53,8.121,Low,124,False
2020-11-23,Hawaiian Islands,19.8766,-155.6306,29.14,8.14,High,97,False
2020-11-29,Caribbean Sea,15.0012,-74.9294,28.38,8.075,None,105,False
2020-12-06,Great Barrier Reef,-18.2657,147.6898,29.98,8.08,High,144,False
2020-12-13,Hawaiian Islands,19.9258,-155.5665,28.79,8.027,Medium,122,False
2020-12-19,South China Sea,9.9852,115.0084,30.48,7.96,Medium,117,True
2020-12-26,Galápagos,-0.8879,-90.9715,25.32,8.083,None,171,False
2021-01-01,Red Sea,19.9989,38.45,27.74,8.107,None,135,False
2021-01-08,Caribbean Sea,14.9881,-75.0183,27.91,8.016,Low,150,False
2021-01-15,Red Sea,19.9839,38.5609,30.78,8.054,High,90,True
2021-01-21,Red Sea,20.0202,38.4988,27.14,8.093,Medium,115,False
2021-01-28,South China Sea,10.0594,114.9768,28.8,8.058,None,113,False
2021-02-03,South China Sea,10.0293,114.9763,29.81,7.957,Medium,108,False
2021-02-10,Great Barrier Reef,-18.1902,147.6492,27.48,8.096,Low,132,False
2021-02-16,Caribbean Sea,15.0175,-74.9755,29.45,8.086,Medium,116,False
2021-02-23,Hawaiian Islands,19.8847,-155.5492,31.35,7.986,High,76,True
2021-03-02,Galápagos,-0.8984,-90.9716,25.24,8.158,Low,144,False
2021-03-08,Great Barrier Reef,-18.2916,147.7158,28.79,8.08,Low,110,False
2021-03-15,South China Sea,10.0257,114.987,29.61,8.059,None,94,False
2021-03-21,Galápagos,-0.8995,-90.9924,29.71,8.044,Medium,135,False
2021-03-28,Great Barrier Reef,-18.2983,147.6817,28.47,8.035,Low,132,False
2021-04-04,Great Barrier Reef,-18.3679,147.6465,26.9,8.13,Medium,161,False
