gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
male	high school	standard	none	70	56	51
female	some college	standard	completed	67	81	79
female	some high school	standard	completed	67	74	77
male	high school	standard	completed	86	81	80
female	some college	free/reduced	completed	64	85	85
female	associate's degree	free/reduced	none	65	77	74
male	some college	free/reduced	none	65	58	49
female	associate's degree	free/reduced	none	53	61	62
male	bachelor's degree	free/reduced	none	37	56	47
male	bachelor's degree	free/reduced	none	53	58	55
female	some college	free/reduced	none	77	90	91
female	some college	standard	none	84	87	91
male	some college	standard	none	91	74	76
female	associate's degree	standard	completed	83	85	90
female	high school	standard	none	63	69	74
female	associate's degree	standard	completed	68	86	84
male	some college	free/reduced	none	68	68	61
male	high school	standard	none	70	74	71
female	associate's degree	free/reduced	none	60	75	74
female	associate's degree	standard	none	64	64	70
female	some college	standard	none	83	83	90
female	bachelor's degree	standard	none	81	88	90
female	some college	standard	none	54	48	52
male	some college	free/reduced	none	63	61	54
male	master's degree	standard	none	79	78	77
female	bachelor's degree	standard	none	86	92	87
female	some high school	standard	completed	76	87	85
female	associate's degree	standard	none	91	86	84
male	master's degree	free/reduced	none	54	59	50
male	high school	standard	completed	53	52	49
male	some high school	free/reduced	completed	56	61	60
female	high school	free/reduced	none	36	53	43
female	associate's degree	standard	none	62	74	70
female	associate's degree	standard	completed	68	67	73
female	some high school	standard	none	47	54	53
female	bachelor's degree	free/reduced	completed	66	83	83
male	associate's degree	standard	completed	51	60	58
male	high school	standard	completed	75	69	68
female	associate's degree	standard	none	81	77	79
male	high school	standard	completed	72	67	64
female	high school	free/reduced	none	62	67	64
male	master's degree	standard	none	79	72	69
male	some high school	free/reduced	none	79	76	65
female	some college	free/reduced	none	32	39	33
female	associate's degree	standard	completed	55	72	79
male	master's degree	free/reduced	none	61	67	66
female	some college	standard	none	63	74	74
male	bachelor's degree	standard	completed	96	90	92
female	some college	standard	none	53	62	56
female	high school	free/reduced	completed	50	66	64
female	associate's degree	standard	none	65	76	76
female	bachelor's degree	free/reduced	none	44	63	62
female	some college	standard	none	54	64	65
male	some college	free/reduced	none	58	57	54
female	bachelor's degree	standard	completed	92	100	99
female	bachelor's degree	standard	completed	56	79	72
female	high school	standard	none	29	29	30
male	some high school	standard	none	75	72	62
female	associate's degree	standard	none	85	84	82
female	master's degree	free/reduced	none	40	58	54
female	some college	standard	none	58	59	66
male	bachelor's degree	standard	completed	94	90	91
female	associate's degree	standard	none	65	77	74
female	high school	standard	none	60	68	72
male	associate's degree	free/reduced	completed	65	73	68
female	high school	free/reduced	none	35	61	54
male	high school	free/reduced	completed	58	51	52
female	some high school	standard	completed	44	51	55
female	high school	standard	none	75	88	85
male	some high school	free/reduced	completed	51	56	53
male	associate's degree	free/reduced	none	77	67	64
male	some college	free/reduced	none	74	77	73
male	some high school	standard	none	73	66	63
female	high school	standard	none	65	69	67
female	some high school	free/reduced	completed	50	60	60
female	some college	free/reduced	completed	63	73	71
male	some college	standard	none	73	74	61
female	high school	free/reduced	none	66	76	68
female	some college	standard	none	69	78	76
female	associate's degree	standard	completed	65	84	84
female	some high school	standard	completed	70	82	76
female	some high school	free/reduced	completed	29	40	44
female	associate's degree	standard	none	49	53	53
female	bachelor's degree	free/reduced	completed	66	74	81
female	some high school	standard	none	49	63	56
female	associate's degree	standard	completed	75	82	90
male	high school	free/reduced	none	66	66	59
male	some college	standard	none	66	59	52
male	some college	standard	completed	93	84	90
male	associate's degree	standard	completed	73	78	72
female	associate's degree	standard	completed	96	96	99
female	high school	standard	none	76	76	74
female	some college	free/reduced	none	62	72	70
male	high school	standard	none	50	48	42
male	some college	standard	none	53	39	37
female	some college	standard	completed	87	89	94
male	master's degree	standard	none	67	57	59
male	associate's degree	standard	none	92	79	84
male	high school	free/reduced	none	61	60	55
female	high school	standard	none	81	84	82
female	associate's degree	standard	completed	59	73	72
male	some college	standard	none	69	64	68
female	bachelor's degree	free/reduced	none	50	60	59
male	master's degree	free/reduced	completed	79	77	75
female	some high school	standard	completed	77	90	85
male	associate's degree	free/reduced	none	58	55	53
female	high school	free/reduced	none	53	72	64
female	high school	standard	completed	58	75	77
female	bachelor's degree	free/reduced	none	62	78	79
female	some college	free/reduced	none	35	44	43
female	associate's degree	standard	completed	52	59	62
male	bachelor's degree	standard	completed	91	81	79
male	associate's degree	free/reduced	none	68	65	61
female	master's degree	free/reduced	none	52	65	61
female	associate's degree	standard	none	52	55	57
male	some high school	standard	completed	67	73	68
male	some high school	standard	completed	76	80	73
female	some college	standard	none	73	76	78
male	high school	standard	none	90	75	69
female	master's degree	standard	completed	54	64	67
female	high school	standard	none	72	80	83
female	some high school	standard	none	77	91	88
female	some high school	free/reduced	none	48	58	52
male	high school	standard	none	62	67	58
female	associate's degree	free/reduced	completed	56	68	70
female	some high school	standard	none	65	69	76
female	bachelor's degree	free/reduced	completed	74	86	89
female	high school	standard	completed	60	64	74
female	associate's degree	standard	none	66	77	73
male	some high school	standard	none	64	58	51
male	master's degree	standard	completed	91	85	85
female	high school	standard	none	59	72	68
male	master's degree	standard	none	71	67	67
male	some high school	standard	none	62	64	55
female	bachelor's degree	standard	none	65	79	81
male	associate's degree	free/reduced	none	87	73	72
female	associate's degree	standard	none	53	62	53
female	some college	standard	completed	71	71	80
male	associate's degree	standard	none	97	93	91
male	high school	free/reduced	none	59	53	52
male	associate's degree	free/reduced	none	49	51	51
female	some college	standard	completed	70	72	76
female	bachelor's degree	free/reduced	none	43	62	61
male	some college	free/reduced	none	80	64	66
male	some high school	standard	none	57	61	54
male	bachelor's degree	standard	completed	63	64	66
female	associate's degree	standard	completed	62	76	80
male	high school	free/reduced	none	54	72	59
female	master's degree	standard	none	73	78	74
female	bachelor's degree	free/reduced	none	67	75	72
female	bachelor's degree	standard	completed	52	61	66
female	bachelor's degree	free/reduced	completed	47	62	66
female	high school	standard	none	44	61	52
female	associate's degree	standard	completed	57	77	80
female	high school	free/reduced	none	35	53	46
female	some high school	free/reduced	none	48	56	51
male	some college	free/reduced	completed	67	74	70
male	bachelor's degree	free/reduced	completed	70	75	74
male	associate's degree	standard	completed	98	87	90
male	master's degree	free/reduced	completed	72	66	72
male	high school	standard	none	81	66	64
female	associate's degree	standard	none	54	61	58
male	high school	standard	completed	58	52	54
female	some college	standard	none	62	69	69
male	some college	standard	none	84	87	81
male	high school	standard	none	75	81	71
female	some high school	free/reduced	completed	65	76	75
male	some college	standard	none	63	63	60
male	some high school	standard	completed	78	72	69
female	some college	standard	completed	64	82	77
male	associate's degree	standard	none	62	65	58
female	associate's degree	standard	none	91	95	94
female	some high school	standard	none	74	75	82
female	associate's degree	standard	none	40	59	51
male	high school	free/reduced	none	62	55	55
female	high school	free/reduced	completed	59	71	65
