gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
male	some high school	standard	completed	76	70	69
female	some high school	free/reduced	completed	35	55	60
male	associate's degree	standard	completed	67	72	67
male	some college	standard	none	79	73	67
male	high school	free/reduced	none	75	74	66
male	some college	free/reduced	none	59	62	61
female	some college	standard	none	80	90	89
female	some high school	free/reduced	none	27	34	32
female	some high school	standard	none	73	84	85
male	some high school	standard	none	74	74	72
female	some college	standard	completed	82	97	96
female	bachelor's degree	standard	none	59	70	73
female	some high school	standard	none	80	90	82
female	master's degree	free/reduced	completed	85	95	100
female	high school	standard	none	62	64	64
male	master's degree	standard	none	73	70	75
female	some college	standard	none	77	68	77
male	some high school	standard	none	60	59	54
female	high school	standard	completed	88	99	100
female	high school	free/reduced	completed	52	57	56
male	associate's degree	standard	completed	87	84	85
female	master's degree	standard	completed	70	71	74
male	associate's degree	standard	none	71	66	60
male	some college	standard	none	68	59	62
female	high school	standard	completed	57	58	64
female	master's degree	free/reduced	completed	47	58	67
male	associate's degree	standard	none	75	68	64
male	associate's degree	free/reduced	none	75	66	73
male	some high school	standard	completed	89	88	82
female	high school	standard	none	78	81	80
male	some college	free/reduced	none	69	66	60
female	bachelor's degree	standard	none	79	89	89
male	associate's degree	free/reduced	none	53	54	48
female	associate's degree	free/reduced	none	26	31	38
female	some high school	standard	none	59	67	61
female	bachelor's degree	standard	completed	71	76	83
male	associate's degree	standard	none	80	68	72
female	master's degree	standard	none	55	64	70
female	associate's degree	free/reduced	none	52	59	56
male	some college	free/reduced	none	61	47	56
male	high school	standard	completed	68	64	66
female	some college	free/reduced	completed	59	78	76
female	master's degree	standard	none	74	79	82
female	master's degree	free/reduced	none	40	59	54
male	some college	standard	none	76	71	73
male	some high school	free/reduced	none	62	49	52
female	some college	standard	none	74	89	84
female	some high school	standard	completed	66	78	78
male	some college	standard	none	71	49	52
male	bachelor's degree	standard	none	69	58	57
female	bachelor's degree	free/reduced	none	29	41	47
female	high school	standard	none	51	66	62
male	associate's degree	free/reduced	completed	79	82	80
female	associate's degree	standard	none	82	95	89
female	master's degree	standard	none	64	63	66
male	some college	free/reduced	none	77	62	64
male	some high school	standard	none	73	66	62
female	some college	standard	completed	74	75	79
female	some college	free/reduced	completed	63	80	80
female	master's degree	free/reduced	completed	61	71	78
male	bachelor's degree	free/reduced	none	68	68	67
female	master's degree	standard	none	53	61	68
female	some high school	standard	none	81	97	96
female	bachelor's degree	free/reduced	none	63	73	78
female	associate's degree	standard	completed	73	75	80
female	some college	standard	none	69	77	77
female	high school	standard	none	69	77	73
female	some high school	standard	none	65	82	81
female	master's degree	standard	none	54	60	63
male	high school	free/reduced	none	60	57	51
male	master's degree	free/reduced	completed	84	89	90
male	some college	free/reduced	completed	69	60	63
male	bachelor's degree	standard	none	88	78	83
male	master's degree	standard	none	95	81	84
male	some college	standard	completed	100	97	99
male	associate's degree	standard	none	61	48	46
male	some college	free/reduced	none	49	57	46
male	some college	standard	none	67	64	70
male	some high school	standard	none	84	84	80
female	some high school	standard	completed	80	92	88
female	associate's degree	standard	none	76	74	73
male	high school	standard	none	41	52	51
female	associate's degree	free/reduced	completed	74	88	90
female	associate's degree	standard	none	59	70	65
female	some college	standard	completed	69	79	81
female	some college	standard	completed	85	86	98
male	some high school	standard	none	69	66	61
female	associate's degree	free/reduced	none	43	60	58
male	associate's degree	standard	none	90	87	85
female	some college	free/reduced	none	55	71	69
male	associate's degree	standard	none	80	63	63
male	associate's degree	standard	completed	81	72	77
male	associate's degree	free/reduced	none	52	57	50
female	high school	standard	completed	69	77	78
male	associate's degree	free/reduced	none	81	75	78
male	some college	free/reduced	none	63	61	60
female	high school	standard	none	67	72	74
male	associate's degree	free/reduced	none	77	78	73
female	associate's degree	standard	none	77	77	73
female	some college	free/reduced	none	79	89	86
female	associate's degree	standard	completed	57	78	79
female	some college	standard	none	63	64	67
male	high school	standard	none	46	34	36
male	high school	standard	none	89	87	79
female	associate's degree	free/reduced	completed	42	61	58
female	some college	standard	none	98	100	99
male	master's degree	standard	none	81	81	84
male	some high school	free/reduced	completed	55	59	59
female	high school	free/reduced	none	73	92	84
male	some high school	standard	none	55	47	44
male	associate's degree	standard	none	81	71	73
male	bachelor's degree	standard	none	80	73	72
male	associate's degree	standard	none	72	79	74
male	high school	standard	none	69	75	71
male	some high school	standard	completed	71	69	68
male	some college	standard	none	55	58	52
female	some college	free/reduced	completed	52	59	65
female	some high school	standard	none	48	58	54
male	some high school	standard	completed	78	81	86
male	some college	standard	none	60	63	59
female	some high school	standard	none	68	71	75
male	bachelor's degree	standard	none	75	73	74
female	associate's degree	free/reduced	none	46	56	57
female	some college	free/reduced	none	60	66	70
male	high school	free/reduced	none	66	74	69
male	high school	standard	none	70	70	70
female	some college	free/reduced	none	64	74	75
male	bachelor's degree	free/reduced	completed	61	70	76
female	bachelor's degree	free/reduced	none	78	90	93
female	some high school	free/reduced	completed	69	86	81
female	high school	free/reduced	none	39	52	46
female	some high school	free/reduced	completed	40	65	64
male	high school	standard	none	64	54	50
male	associate's degree	standard	none	80	75	69
male	bachelor's degree	free/reduced	completed	39	42	38
male	some college	standard	completed	82	82	88
male	some college	standard	none	81	82	84
female	some high school	standard	none	59	72	80
female	associate's degree	standard	none	64	76	74
male	bachelor's degree	free/reduced	none	55	46	44
female	some college	free/reduced	none	69	65	74
male	high school	free/reduced	none	44	51	48
male	some high school	standard	completed	88	74	75
male	associate's degree	standard	completed	67	54	63
female	some high school	standard	completed	65	78	82
male	master's degree	standard	none	85	84	89
female	bachelor's degree	free/reduced	completed	93	100	100
female	some high school	free/reduced	none	67	84	84
male	some college	standard	none	88	77	77
female	some college	standard	completed	79	84	91
male	bachelor's degree	free/reduced	none	50	42	48
male	high school	free/reduced	none	69	70	67
male	high school	standard	none	72	66	66
male	high school	free/reduced	none	74	70	69
female	high school	free/reduced	completed	65	61	71
male	some college	free/reduced	none	62	57	62
male	associate's degree	free/reduced	completed	61	71	73
male	some college	free/reduced	none	70	63	58
male	some college	standard	completed	85	81	85
male	some high school	standard	completed	77	68	69
female	master's degree	standard	none	78	91	96
female	some college	free/reduced	none	49	58	60
female	some college	standard	completed	75	77	83
female	master's degree	standard	none	92	100	100
female	high school	standard	none	45	63	59
female	some high school	free/reduced	none	48	54	53
male	some college	standard	none	72	57	58
female	some college	standard	none	62	70	72
female	bachelor's degree	standard	none	89	100	100
female	some college	free/reduced	none	49	65	61
male	high school	standard	completed	55	41	48
male	some high school	standard	none	81	78	78
female	some college	free/reduced	completed	67	86	83
female	associate's degree	free/reduced	none	55	76	76
female	bachelor's degree	free/reduced	none	62	72	74
female	some college	standard	completed	68	78	77
female	some college	free/reduced	none	77	86	86
